Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00016017,0.00027743,0.090431,0,0,0,5.1894,0.02933,-6.5894E-05,-7.1468E-05,0.029406,0.00012379,0.023038,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder,0.00799935706662509,0.0716689468156619,0.0065021547736188,0,0,0,1.71243232094245,0.00253667125917515,5.33015957394309E-06,-6.15883660515544E-06,0.00346391401825662,4.53143594502608E-05,0.00263678029911136,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/shoulder.STL,,link1-1,Origin_j1,Axis_j1,j1,revolute,0,0,0.2035,1.5707963267949,0,0,base_link,0,1,0,0,0,-155,155,,,,,,,,
link2,-0.00149978684268147,0.0491674781738463,0.121546334405147,0,0,0,0.13907465828287,0.000705197409920323,-2.85322371189166E-09,-1.30628027859479E-08,0.000609449635828272,-0.000215930113740886,0.00016366782701836,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/link2.STL,,link2-1,Origin_j2,Axis_j2,j2,revolute,0,0.148,0.015814,-1.1861,0,0,shoulder,1,0,0,0,0,-35,130,,,,,,,,
link3,-0.00161140925205583,-0.0653393953221578,0.089134154038203,0,0,0,0.134522448345309,0.000725362267539187,-2.21957210470906E-08,4.37665536359324E-08,0.000787599694172007,0.000313843711979311,0.00077136385456754,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/link3.STL,,link3-1,Origin_j3,Axis_j3,j3,revolute,0,0.083319,0.20577,-1.0758,0,0,link2,1,0,0,0,0,-130,130,,,,,,,,
wrist_pitch,-0.00150003286811627,0.333739798462262,0.398404504559236,0,0,0,0.204374014246953,6.11183155896937E-05,-2.16956947813519E-12,1.32110954242711E-11,5.64540201198786E-05,-1.79410437364399E-06,6.67639365103607E-05,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/wrist_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/wrist_pitch.STL,,wrist_pitch-1,Origin_j4,,j4,fixed,0,-0.6282,0.22877,-1.0472,0,0,link3,0,0,0,0,0,-130,130,,,,,,,,
wrist_roll,-2.8807E-08,0.01672,-0.00060103,0,0,0,0.03322,1.1527E-05,1.6124E-11,2.3181E-11,1.8187E-05,-6.5335E-08,2.3651E-05,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/wrist_roll.STL,1,1,1,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/wrist_roll.STL,,gripper base-1,Origin_j5,Axis_j5,j5,continuous,-0.0015000000000021,0.21444583740546,0.379318079320239,2.974130834029,0,3.14159265358979,wrist_pitch,0,1,0,0,0,-130,130,,,,,,,,
tool_right,0.0229999999999939,-1.76941794549634E-16,-0.00650000000000003,0,0,0,0.0109316017944005,1.84434457629354E-07,2.02374526996411E-20,-2.18646564223463E-22,2.76898790125655E-06,-7.12140169843449E-24,2.7667468068672E-06,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tool_right.STL,1,1,1,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tool_right.STL,,hook-1;hook-2,Origin_j6_r,Axis_j6_r,j6_r,revolute,-0.032,0.0085,0,-1.5708,0,-1.5708,wrist_roll,0,1,0,0,0,-45,45,,,,,,,,
tip_right,0.0036727,0.017661,-0.005,0,0,0,0.0045442,4.5817E-07,1.2647E-07,2.6565E-23,3.0432E-07,-2.6934E-23,5.0472E-07,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tip_right.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tip_right.STL,,gripper-1,Origin_j7_r,Axis_j7_r,j7_r,fixed,0.0420000000000128,-0.00499999999999319,0.00350000000032195,1.5707963267949,1.5707963267949,0,tool_right,0,0,0,0,0,0,0,,,,,,,,
tool_left,0.0229999999999939,-1.73472347597681E-16,0.00650000000000003,0,0,0,0.0109316017944005,1.84434457629354E-07,2.05734992375707E-20,3.38011947262265E-22,2.76898790125654E-06,2.05006607701497E-23,2.7667468068672E-06,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tool_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tool_left.STL,,Mirrorhook-3;hook-3,Origin_j6_l,Axis_j6_l,j6_l,revolute,0.0320000000000329,0.0085000000000004,0,-1.5707963267949,0,-1.57079632679548,wrist_roll,0,1,0,0,0,-45,45,,,,,,,,
tip_left,0.00367269052710108,0.017660866085392,-0.00499999999999999,0,0,0,0.00454420794860012,4.58166498573772E-07,1.26469725965748E-07,1.52250858587451E-23,3.04318268818379E-07,2.01495233866649E-22,5.04715794044642E-07,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tip_left.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://scorbot_er4u_mesh_and_urdf/meshes/tip_left.STL,,gripper-2,Origin_j7_l,Axis_j7_l,j7_l,fixed,0.0420000000000023,0.005,-0.00350000000001019,1.57079632679489,-1.5707963267949,0,tool_left,0,0,0,0,0,0,0,,,,,,,,
